Designator,Mid X,Mid Y,Rotation,Layer
C1,113.8,-91.71,90.0,top
C10,107.12,-81.6,180.0,top
C11,105.4,-74.2,180.0,top
C12,101.36,-87.3,180.0,top
C13,101.2,-88.2,180.0,top
C14,112.2,-80.4,270.0,top
C15,101.9,-79.1,0.0,top
C16,101.9,-79.9,0.0,top
C2,115.726274,-78.426274,135.0,top
C3,116.7,-77.5,135.0,top
C4,111.73,-81.825,0.0,top
C5,111.72,-82.575,0.0,top
C6,105.2,-71.2,270.0,top
C7,105.48,-81.6,0.0,top
C8,110.72,-74.2,0.0,top
C9,103.2,-80.655,270.0,top
D1,95.0,-75.0,0.0,top
D2,95.0,-89.5,180.0,top
D3,95.0,-72.5,0.0,top
D7,108.0,-92.05,180.0,top
J1,99.36,-77.9,270.0,top
Q1,111.575,-91.3,270.0,top
R1,98.5,-75.0,0.0,top
R10,98.5,-88.0,270.0,top
R11,104.0,-80.655,270.0,top
R2,98.5,-72.5,0.0,top
R3,97.025,-92.4,180.0,top
R4,102.6,-92.345,270.0,top
R5,105.255,-90.15,0.0,top
R7,107.145,-90.15,180.0,top
R8,111.255,-93.7,180.0,top
R9,101.9,-80.7,0.0,top
U1,104.6,-92.05,180.0,top
U2,108.5,-78.0,0.0,top
U3,123.0,-76.0,0.0,top
U5,118.900349,-81.473483,315.0,top
U6,110.0,-79.971715,0.0,bottom
U7,106.6,-85.65,180.0,top
